"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"67","Cape Town Campus","IT","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C++;Python;Rust","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Vultr","Django;FastAPI;Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Mintlify","Employed"
"68","Nelspruit Campus","Data Science","I am a developer by profession","Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA","MariaDB;Microsoft SQL Server;MongoDB;MySQL","Google Cloud;Microsoft Azure","jQuery;Node.js;React;WordPress","Insurance","ChatGPT","Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"69","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Dart;Groovy;JavaScript;Kotlin;Lua;Python;Ruby;Rust;TypeScript","Firebase Realtime Database;MongoDB;MySQL;SQLite;Supabase","Firebase;Vercel","Django;Flask;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot","Independent contractor"
"70","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;TypeScript","Dynamodb;Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Hetzner;Netlify;OpenStack;Vercel","CodeIgniter;Django;Flask;jQuery;Nuxt.js","Other","Bing AI","Whispr AI","Employed"
"71","Durban Campus","IT","I am a developer by profession","Developer, game or graphics","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","MySQL;Neo4J;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Managed Hosting;OVH","Laravel;Node.js;React","Other","ChatGPT","Adrenaline;GitHub Copilot;Synk Code","Independent contractor"
"72","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL","Digital Ocean;Firebase;Google Cloud;VMware","jQuery;React;Symfony","Retail and Consumer Services","ChatGPT","GitHub Copilot;Whispr AI","Employed"
"73","Pretoria Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;H2;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean","Laravel;Nuxt.js;Vue.js","Financial Services","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"74","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript","PostgreSQL","Digital Ocean;Google Cloud","Angular;Django;Node.js;Spring Boot","Wholesale","Bing AI;ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed"
"75","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Firebase","Angular","Other","ChatGPT","Adrenaline;Codeium;GitHub Copilot","Employed"
"76","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","Cosmos DB;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Blazor","Legal Services","Bing AI;ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed"
"77","Nelspruit Campus","IT","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Objective-C;Swift","Firebase Realtime Database;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;OpenShift;OpenStack","NestJS;Next.js;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine","Employed"
"78","Nelspruit Campus","Computer Science","I am a developer by profession","Blockchain","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;C;HTML/CSS;JavaScript;Solidity;SQL","PostgreSQL","Scaleway","React","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor"
"79","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python","InfluxDB;MariaDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure;OVH","FastAPI;Flask;React;WordPress","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline","Employed"
"80","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;Java;VBA;Visual Basic (.Net)","Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS)","Blazor","Advertising Services","ChatGPT;Phind","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed"
"81","Port Elizabeth Campus","IT","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;TypeScript","Cassandra;Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure;Netlify;OpenShift","Spring Boot;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT;Perplexity AI","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"82","Nelspruit Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C++;Go;HTML/CSS;Python;Rust;SQL;TypeScript","Cockroachdb;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure","Express;Svelte","Other","ChatGPT","Favorable","Employed"
"83","Durban Campus","IT","I am a developer by profession","Blockchain","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++","MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare","Django;Flask","Oil & Gas","Andi","Adrenaline;Mintlify","Employed"
"84","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;Python;SQL","Dynamodb;MySQL;PostgreSQL","Amazon Web Services (AWS)","Angular;Express;Node.js;Spring Boot","Other","ChatGPT","GitHub Copilot","Employed"
"85","Durban Campus","Computer Science","I am a developer by profession","Developer, QA or test","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Python","MongoDB;SQLite","Firebase","Flask;React","Financial Services","ChatGPT","Tabnine;Whispr AI","Not employed"
"86","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;Swift;TypeScript","Dynamodb;PostgreSQL;SQLite;Supabase","Amazon Web Services (AWS);Cloudflare;Digital Ocean","React;Spring Boot","Other","ChatGPT","GitHub Copilot;Synk Code","Employed"
"87","Durban Campus","Data Science","I am learning to code","Student","Some college/university study without earning a degree","HTML/CSS;JavaScript;Python;Ruby","MySQL;PostgreSQL","Google Cloud;Netlify;Render","Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Not employed"
"88","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","InfluxDB;Microsoft SQL Server;MySQL;PostgreSQL","Cloudflare;Hetzner","Express;Fastify;Next.js;Node.js;React;Symfony","Oil & Gas","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"89","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS)","AngularJS;Node.js;React","Financial Services","ChatGPT;Phind","Rubber Duck.AI;Tabnine","Employed"
"90","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","C;Go;HTML/CSS;Java;JavaScript;PHP;SQL","MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Hetzner;VMware","Angular;AngularJS;Express;Fastify;jQuery;Next.js;Node.js;React;Vue.js","Healthcare","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Independent contractor"
"91","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript","PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;VMware","Angular;Django;Node.js","Financial Services","Bing AI;ChatGPT","GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"92","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;TypeScript","PostgreSQL","Linode, now Akamai;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Advertising Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed"
"93","Durban Campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Java;Python","Cloud Firestore;Firebase Realtime Database;MongoDB;MySQL;PostgreSQL;Supabase","Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Vercel","ASP.NET CORE;Play Framework;Spring Boot;WordPress","Retail and Consumer Services","ChatGPT;WolframAlpha","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed"
"94","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;PowerShell;SQL;Visual Basic (.Net)","Cloud Firestore;Elasticsearch;Microsoft Access;Microsoft SQL Server;MySQL;Neo4J;Oracle","Amazon Web Services (AWS);Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI","Employed"
"95","Port Elizabeth Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;HTML/CSS;Java;JavaScript;Kotlin;SQL","H2;PostgreSQL;SQLite","Digital Ocean;Hetzner;Microsoft Azure","jQuery;Spring Boot","Financial Services","ChatGPT","AWS CodeWhisperer;Rubber Duck.AI","Employed"
"96","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Angular;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"97","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;SQL","Oracle;PostgreSQL","Amazon Web Services (AWS);Digital Ocean","AngularJS;React","Oil & Gas","ChatGPT","GitHub Copilot;Whispr AI","Employed"
"98","Durban Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript","Cloud Firestore;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;OpenShift;VMware","Express;jQuery;Node.js","Legal Services","ChatGPT","GitHub Copilot;Mintlify","Employed"
"99","Port Elizabeth Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Groovy;Java;PowerShell;TypeScript","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React;Spring Boot","Financial Services","ChatGPT","Adrenaline","Employed"
"100","Pretoria Campus","Computer Science","I am a developer by profession","Product manager","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;Python;SQL","Elasticsearch;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Microsoft Azure","jQuery;Node.js;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed"
"101","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud","jQuery;Laravel;Symfony;Vue.js","Other","Bing AI;ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed"
"102","Pretoria Campus","Computer Science","I am a developer by profession","Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Dart;Java;JavaScript;Python;SQL;Swift;TypeScript","MongoDB;MySQL;Oracle;PostgreSQL;SQLite","Firebase;Google Cloud;Heroku;Render","Express;Node.js;React","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Tabnine","Employed"
"103","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;SQL","Microsoft SQL Server;Oracle;PostgreSQL","Digital Ocean","Angular","Oil & Gas","ChatGPT","AWS CodeWhisperer;Codeium;Tabnine;Whispr AI","Employed"
"104","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;R;SQL","MariaDB;Microsoft SQL Server;MySQL;Redis;Solr","Cloudflare;Microsoft Azure","jQuery;Lit;Next.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI","Employed"
"105","Cape Town Campus","Computer Science","I am a developer by profession","Data scientist or machine learning specialist","Some college/university study without earning a degree","Python","PostgreSQL;SQLite","Heroku","Django","Advertising Services","ChatGPT;Perplexity AI","Mintlify","Employed"
"106","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Assembly;Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;R;SAS;Scala;SQL","H2;IBM DB2;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL","Amazon Web Services (AWS);Heroku;VMware","jQuery;Node.js;Spring Boot","Advertising Services","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI","Employed"
"107","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer Advocate","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;SQLite","Digital Ocean;Heroku;Microsoft Azure;Vercel","Express;Fastify;Flask;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Svelte;Vue.js","Advertising Services","ChatGPT","Codeium;GitHub Copilot;Synk Code","Employed"
"108","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL","Amazon Web Services (AWS)","jQuery;Symfony;WordPress","Retail and Consumer Services","ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed"
"109","Nelspruit Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL","Firebase","Angular;CodeIgniter;jQuery;Node.js;Spring Boot","Oil & Gas","Bing AI;ChatGPT;Perplexity AI","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"110","Port Elizabeth Campus","IT","I am a developer by profession","Data scientist or machine learning specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;Lua;MATLAB;PowerShell;Zig","Microsoft SQL Server","Digital Ocean;Google Cloud;Microsoft Azure;Render","Deno;React;Svelte;Vue.js","Higher Education","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify","Independent contractor"
"111","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","Node.js;React","Other","ChatGPT;Google Bard AI","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed"
